y1_HG_x,y1_HG_y,y1_LC_x,y1_LC_y,y3_HG_x,y3_HG_y,y3_LC_x,y3_LC_y,y2_HG_x,y2_HG_y,y2_LC_x,y2_LC_y,y4_HG_x,y4_HG_y,y4_LC_x,y4_LC_y
0.021611836,1331068.957,,,0.007782943,1418903.578,,,1824.64688,983806.0956,,,1172.055621,715552.9436,381.8897638,1469788.52
0.021611836,1373297.14,,,0.007563025,1478023.034,,,1725.683891,1027291.343,,,1136.730249,758473.4479,288.9213316,1501829.886
0.021611836,1415525.323,,,0.00712319,1529259.897,,,1626.720901,1067952.874,,,1096.989206,800688.0228,192.5125051,1538948.934
0.021611836,1459442.634,,,0.006683354,1589843.264,,,1527.757912,1107484.917,,,1057.248163,842055.4826,,
0.021611836,1501670.817,,,,,,,1412.301091,1150970.165,,,1026.338463,875234.1619,,
0.021611836,1543899,,,,,,,1313.338101,1188243.235,,,982.1817486,917166.3652,,
0.021611836,1586127.184,,,,,,,1230.868943,1218739.382,,,938.0250341,957827.8956,,
,,,,,,,,1131.905954,1253471.106,,,893.8683197,997218.7532,,
,,,,,,,,1021.947077,1289332.317,,,845.2959338,1038021.469,,
,,,,,,,,884.4984802,1334794.167,,,796.7235479,1076000.468,,
,,,,,,,,747.0498838,1380256.017,,,752.5668334,1112426.423,,
,,,,,,,,615.0992312,1420352.804,,,699.5787761,1152664.395,,
,,,,,,,,494.1444663,1453672.669,,,646.5907187,1191631.695,,
,,,,,,,,362.1938137,1492639.969,,,593.6026614,1230598.995,,
,,,,,,,,230.2431611,1532172.013,,,540.614604,1266601.392,,
,,,,,,,,87.29662078,1570009.826,,,492.0422181,1301078.981,,
,,,,,,,,,,,,434.6384893,1338606.186,,
,,,,,,,,,,,,381.650432,1373337.909,,
,,,,,,,,,,,,327.7792404,1406460.114,,
,,,,,,,,,,,,258.0116315,1449578.279,,
,,,,,,,,,,,,186.4777541,1491510.482,,
,,,,,,,,,,,,107.8788024,1538101.819,,
