radius,density,Vph,Vsh,mu,K,Visc
5535700,4482.28,11181.92,6286.08,1.77116E+11,3.24288E+11,1.00E+24
5585700,4451.94,11091.79,6250.67,1.73941E+11,3.15791E+11,1.00E+24
5600000,4443.2,11065.6,6240.54,1.73037E+11,3.13342E+11,1.00E+24
5635700,4421.28,10954.59,6136.09,1.66468E+11,3.08609E+11,1.00E+24
5685700,4390.29,10798.97,5989.86,1.57517E+11,3.01964E+11,1.00E+24
5701000,3992.12,10266.17,5570.21,1.23864E+11,2.55594E+11,1.00E+24
5711000,3989.79,10250.69,5562.47,1.23448E+11,2.54636E+11,1.00E+24
5721000,3987.46,10235.2,5554.73,1.23033E+11,2.53679E+11,1.00E+24
5731000,3985.14,10219.71,5546.99,1.22619E+11,2.52726E+11,1.00E+24
5741000,3982.81,10204.22,5539.24,1.22205E+11,2.51774E+11,1.00E+24
5751000,3980.48,10188.74,5531.5,1.21793E+11,2.50825E+11,1.00E+24
5761000,3978.15,10173.25,5523.76,1.21381E+11,2.49877E+11,1.00E+24
5771000,3975.82,10157.83,5515.93,1.20966E+11,2.48943E+11,1.00E+24
5781000,3963.22,10106.63,5486.76,1.19311E+11,2.45738E+11,1.00E+24
5791000,3950.61,10055.43,5457.59,1.1767E+11,2.42559E+11,1.00E+24
5801000,3938.01,10004.24,5428.41,1.16044E+11,2.3941E+11,1.00E+24
5811000,3925.41,9953.04,5399.24,1.14433E+11,2.36286E+11,1.00E+24
5821000,3912.8,9901.85,5370.07,1.12836E+11,2.33189E+11,1.00E+24
5831000,3900.2,9850.65,5340.9,1.11254E+11,2.30118E+11,1.00E+24
5841000,3887.59,9799.46,5311.73,1.09686E+11,2.27075E+11,1.00E+24
5851000,3874.99,9748.26,5282.55,1.08133E+11,2.24058E+11,1.00E+24
5861000,3862.39,9697.07,5253.38,1.06594E+11,2.21067E+11,1.00E+24
5871000,3849.78,9645.87,5224.21,1.0507E+11,2.18102E+11,1.00E+24
5881000,3837.18,9594.68,5195.04,1.0356E+11,2.15163E+11,1.00E+24
5891000,3824.58,9543.48,5165.86,1.02063E+11,2.12251E+11,1.00E+24
5901000,3811.97,9492.28,5136.69,1.00581E+11,2.09363E+11,1.00E+24
5911000,3799.37,9441.09,5107.52,99113255432,2.06503E+11,1.00E+24
5921000,3786.77,9389.89,5078.35,97659430225,2.03667E+11,1.00E+24
5931000,3774.16,9338.7,5049.18,96219260345,2.00857E+11,1.00E+24
5941000,3761.56,9287.5,5020,94792816624,1.98073E+11,1.00E+24
5951000,3748.95,9236.31,4990.83,93380286530,1.95314E+11,1.00E+24
5961000,3736.35,9185.11,4961.66,91981725679,1.9258E+11,1.00E+24
5971000,3543.26,8905.24,4769.9,80616060219,1.73504E+11,1.00E+24
5981000,3537.29,8886,4762.9,80244189155,1.72316E+11,1.00E+24
5991000,3531.32,8866.77,4755.9,79873460911,1.71133E+11,1.00E+24
6001000,3525.35,8847.53,4748.9,79503873733,1.69955E+11,1.00E+24
6011000,3519.38,8828.29,4741.9,79135425866,1.68782E+11,1.00E+24
6021000,3513.41,8809.05,4734.9,78768115553,1.67614E+11,1.00E+24
6031000,3507.43,8789.81,4727.9,78401717510,1.66451E+11,1.00E+24
6041000,3501.46,8770.57,4720.9,78036677704,1.65294E+11,1.00E+24
6051000,3495.49,8751.33,4713.9,77672770187,1.64141E+11,1.00E+24
6061000,3489.52,8732.1,4706.9,77309993203,1.62994E+11,1.00E+24
6071000,3483.55,8712.86,4699.9,76948344998,1.61852E+11,1.00E+24
6081000,3477.58,8693.62,4692.9,76587823816,1.60715E+11,1.00E+24
6091000,3471.6,8674.38,4685.9,76228208325,1.59582E+11,1.00E+24
6101000,3465.63,8655.14,4678.9,75869936579,1.58455E+11,1.00E+24
